reviewAction,fileName,currentSplit,annotationCount,score,risk,reasons,suggestedCommand
mark_complex_background,Chrome_metallic_foil_nail_art__2026-07-04T14-53-04.png,train,5,35,low,"keyword hits: chrome, foil, metallic; currently in train; can be moved to test","node --no-warnings --experimental-strip-types model/training/mark-phase1-samples.ts --file ""Chrome_metallic_foil_nail_art__2026-07-04T14-53-04.png"" --background mixed --reason complex_background --sample ai_generated --ensure-test"
mark_complex_background,Nail_art_batch_D8__galaxy_nebu_2026-07-04T14-56-54.png,test,5,30,low,"keyword hits: galaxy, nebu; already in test split","node --no-warnings --experimental-strip-types model/training/mark-phase1-samples.ts --file ""Nail_art_batch_D8__galaxy_nebu_2026-07-04T14-56-54.png"" --background mixed --reason complex_background --sample ai_generated --ensure-test"
mark_complex_background,Galaxy_space_cosmic_nail_desig_2026-07-04T14-53-04.png,train,5,25,low,"keyword hits: cosmic, galaxy; currently in train; can be moved to test","node --no-warnings --experimental-strip-types model/training/mark-phase1-samples.ts --file ""Galaxy_space_cosmic_nail_desig_2026-07-04T14-53-04.png"" --background mixed --reason complex_background --sample ai_generated --ensure-test"
mark_complex_background,Holographic_chrome_mirror_nail_2026-07-04T14-50-39.png,train,5,25,low,"keyword hits: chrome, holographic; currently in train; can be moved to test","node --no-warnings --experimental-strip-types model/training/mark-phase1-samples.ts --file ""Holographic_chrome_mirror_nail_2026-07-04T14-50-39.png"" --background mixed --reason complex_background --sample ai_generated --ensure-test"
mark_complex_background,Nail_art_batch_D4__dark_vampir_2026-07-04T14-56-54.png,val,5,25,low,"keyword hits: dark, vampir; currently in val; can be moved to test","node --no-warnings --experimental-strip-types model/training/mark-phase1-samples.ts --file ""Nail_art_batch_D4__dark_vampir_2026-07-04T14-56-54.png"" --background mixed --reason complex_background --sample ai_generated --ensure-test"
mark_complex_background,Nail_art_batch_D9__tortoiseshe_2026-07-04T14-56-54.png,test,5,20,low,keyword hits: tortoise; already in test split,"node --no-warnings --experimental-strip-types model/training/mark-phase1-samples.ts --file ""Nail_art_batch_D9__tortoiseshe_2026-07-04T14-56-54.png"" --background mixed --reason complex_background --sample ai_generated --ensure-test"
mark_complex_background,Nail_art_batch_E1__barbed_wire_2026-07-04T14-57-40.png,test,5,20,low,keyword hits: barbed; already in test split,"node --no-warnings --experimental-strip-types model/training/mark-phase1-samples.ts --file ""Nail_art_batch_E1__barbed_wire_2026-07-04T14-57-40.png"" --background mixed --reason complex_background --sample ai_generated --ensure-test"
mark_complex_background,Nail_art_batch_E4__dragon_scal_2026-07-04T14-57-40.png,test,5,20,low,keyword hits: dragon; already in test split,"node --no-warnings --experimental-strip-types model/training/mark-phase1-samples.ts --file ""Nail_art_batch_E4__dragon_scal_2026-07-04T14-57-40.png"" --background mixed --reason complex_background --sample ai_generated --ensure-test"
mark_complex_background,Nail_art_batch_E8__cyberpunk_n_2026-07-04T14-57-40.png,test,5,20,low,keyword hits: cyberpunk; already in test split,"node --no-warnings --experimental-strip-types model/training/mark-phase1-samples.ts --file ""Nail_art_batch_E8__cyberpunk_n_2026-07-04T14-57-40.png"" --background mixed --reason complex_background --sample ai_generated --ensure-test"
mark_complex_background,Nail_art_batch_F2__black_swan__2026-07-04T14-58-33.png,test,5,20,low,keyword hits: black; already in test split,"node --no-warnings --experimental-strip-types model/training/mark-phase1-samples.ts --file ""Nail_art_batch_F2__black_swan__2026-07-04T14-58-33.png"" --background mixed --reason complex_background --sample ai_generated --ensure-test"
review_possible_negative,nail_0011.jpg,train,1,30,high,low annotation count: 1,Only run mark-phase1-samples with --negative true --clear-annotations after visual review confirms there is no valid nail-texture region.
review_possible_negative,nail_0088.jpg,train,1,30,high,low annotation count: 1,Only run mark-phase1-samples with --negative true --clear-annotations after visual review confirms there is no valid nail-texture region.
review_possible_negative,nail_0109.jpg,train,1,30,high,low annotation count: 1,Only run mark-phase1-samples with --negative true --clear-annotations after visual review confirms there is no valid nail-texture region.
review_possible_negative,nail_0001.jpg,train,2,18,high,low annotation count: 2,Only run mark-phase1-samples with --negative true --clear-annotations after visual review confirms there is no valid nail-texture region.
review_possible_negative,nail_0030.jpg,train,2,18,high,low annotation count: 2,Only run mark-phase1-samples with --negative true --clear-annotations after visual review confirms there is no valid nail-texture region.
review_possible_negative,nail_0047.jpg,train,2,18,high,low annotation count: 2,Only run mark-phase1-samples with --negative true --clear-annotations after visual review confirms there is no valid nail-texture region.
review_possible_negative,nail_0060.jpg,train,2,18,high,low annotation count: 2,Only run mark-phase1-samples with --negative true --clear-annotations after visual review confirms there is no valid nail-texture region.
review_possible_negative,nail_0063.jpg,train,2,18,high,low annotation count: 2,Only run mark-phase1-samples with --negative true --clear-annotations after visual review confirms there is no valid nail-texture region.
review_possible_negative,Nail_art_batch_A3__negative_sp_2026-07-04T14-54-21.png,val,5,4,high,keyword-only weak signal; verify visually; keyword hits: negative,Only run mark-phase1-samples with --negative true --clear-annotations after visual review confirms there is no valid nail-texture region.
